stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
78,0.5,1.0,120.57811899999979,121.07795020000003,121.07795020000003,121.07795020000003,121.37822729999971,left,-1.0,1,1,1.2820968999999423,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
79,0.5,1.0,122.3770826,122.87687969999979,122.87687969999979,122.87687969999979,123.17733649999991,left,-1.0,1,1,0.5244216000005508,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
80,0.5,1.0,123.42667410000013,123.91023059999998,123.91023059999998,123.9271647999999,124.21051110000008,right,1.0,0,0,0.9069213000002492,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
81,0.5,1.5,124.84331979999979,125.34330460000001,125.34330460000001,125.34330460000001,125.64307239999971,right,1.5,1,1,0.6576443000003565,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
82,0.5,1.5,126.02681069999971,126.52661429999989,126.52661429999989,126.52661429999989,126.82616710000002,right,1.5,1,1,0.7228257000001577,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
83,0.5,1.5,127.27711289999979,127.77748539999993,127.77748539999993,127.77748539999993,128.07695289999992,right,1.5,1,1,0.679942100000062,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
84,0.5,1.0,128.47711759999993,128.97714319999977,128.97714319999977,128.97714319999977,129.2768318999997,right,1.0,1,1,0.72075040000027,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
85,0.5,1.0,129.72714959999985,130.22683830000005,130.22683830000005,130.22683830000005,130.5267445999998,right,1.0,1,1,0.9359731000004103,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
86,0.5,1.0,131.19332299999996,131.6935985,131.6935985,131.6935985,131.99334509999971,right,1.0,1,1,0.7750147000001562,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
87,0.5,1.0,132.4930261999998,132.99301669999977,132.99301669999977,132.99301669999977,133.29295319999983,right,1.0,1,1,0.4548616000001857,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
88,0.5,1.0,133.47664729999997,133.9761669999998,133.9761669999998,133.9761669999998,134.2761018000001,right,1.0,1,1,0.8574892999999975,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
89,0.5,1.0,134.85988039999984,135.35957099999996,135.35957099999996,135.35957099999996,135.65957979999985,right,1.0,1,1,0.4542148000000452,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
90,0.5,1.0,135.84263099999998,136.34270070000002,136.34270070000002,136.34270070000002,136.64241189999984,left,-1.0,1,1,0.8876276999999391,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
91,0.5,1.0,137.25909739999997,137.75904579999997,137.75904579999997,137.75904579999997,138.05906499999992,left,-1.0,1,1,1.1762751000001117,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
92,0.5,1.0,138.9587806999998,139.45903809999982,139.45903809999982,139.45903809999982,139.75918580000007,left,-1.0,1,1,0.7907694000000447,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
93,0.5,1.0,140.27453659999992,140.75828999999976,140.75828999999976,140.77438089999987,141.05845259999978,left,-1.0,1,1,0.4688833000000159,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
94,0.5,1.0,141.25846890000003,141.758515,141.758515,141.758515,142.05834270000014,right,1.0,0,0,0.49622550000003685,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
